chr,bin_index,bin_start,bin_end,CTCF,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me2,H3K4me3,H3K9ac,H4K20me1,gc_content,mfe_kcal,tm_celsius,Normalized efficacy
chr21,49,9801,10000,0,0,0,0,0,0,0,0,0,,,,
chr21,50,10001,10200,0,0,0,0,0,0,0,0,0,,,,
chr21,51,10201,10400,0,0,0,0,0,0,0,0,0,,,,
chr21,52,10401,10600,0,0,0,0,0,0,0,0,0,,,,
chr21,53,10601,10800,0,0,0,0,0,0,0,0,0,,,,
chr21,54,10801,11000,0,0,0,0,0,0,0,0,0,,,,
chr21,55,11001,11200,0,0,0,0,0,0,0,0,0,,,,
chr21,56,11201,11400,0,0,0,0,0,0,0,0,0,,,,
chr21,57,11401,11600,0,0,0,0,0,0,0,0,0,,,,
chr21,58,11601,11800,0,0,0,0,0,0,0,0,0,,,,
chr21,59,11801,12000,0,0,0,0,0,0,0,0,0,,,,
chr21,60,12001,12200,0,0,0,0,0,0,0,0,0,,,,
chr21,61,12201,12400,0,0,0,0,0,0,0,0,0,,,,
chr21,62,12401,12600,0,0,0,0,0,0,0,0,0,,,,
chr21,63,12601,12800,0,0,0,0,0,0,0,0,0,,,,
chr21,64,12801,13000,0,0,0,0,0,0,0,0,0,,,,
chr21,65,13001,13200,0,0,0,0,0,0,0,0,0,,,,
chr21,66,13201,13400,0,0,0,0,0,0,0,0,0,,,,
chr21,67,13401,13600,0,0,0,0,0,0,0,0,0,,,,
chr21,68,13601,13800,0,0,0,0,0,0,0,0,0,,,,
chr21,69,13801,14000,0,0,0,0,0,0,0,0,0,,,,
chr21,70,14001,14200,0,0,0,0,0,0,0,0,0,,,,
chr21,71,14201,14400,0,0,0,0,0,0,0,0,0,,,,
chr21,72,14401,14600,0,0,0,0,0,0,0,0,0,,,,
chr21,73,14601,14800,0,0,0,0,0,0,0,0,0,,,,
chr21,74,14801,15000,0,0,0,0,0,0,0,0,0,,,,
chr21,75,15001,15200,0,0,0,0,0,0,0,0,0,,,,
chr21,76,15201,15400,0,0,0,0,0,0,0,0,0,,,,
chr21,77,15401,15600,0,0,0,0,0,0,0,0,0,,,,
chr21,78,15601,15800,0,0,0,0,0,0,0,0,0,,,,
chr21,79,15801,16000,0,0,0,0,0,0,0,0,0,,,,
chr21,80,16001,16200,0,0,0,0,0,0,0,0,0,,,,
chr21,81,16201,16400,0,0,0,0,0,0,0,0,0,,,,
chr21,82,16401,16600,0,0,0,0,0,0,0,0,0,,,,
chr21,83,16601,16800,0,0,0,0,0,0,0,0,0,,,,
chr21,84,16801,17000,0,0,0,0,0,0,0,0,0,,,,
chr21,85,17001,17200,0,0,0,0,0,0,0,0,0,,,,
chr21,86,17201,17400,0,0,0,0,0,0,0,0,0,,,,
chr21,87,17401,17600,0,0,0,0,0,0,0,0,0,,,,
chr21,88,17601,17800,0,0,0,0,0,0,0,0,0,,,,
chr21,89,17801,18000,0,0,0,0,0,0,0,0,0,,,,
chr21,90,18001,18200,0,0,0,0,0,0,0,0,0,,,,
chr21,91,18201,18400,0,0,0,0,0,0,0,0,0,,,,
chr21,92,18401,18600,0,0,0,0,0,0,0,0,0,,,,
chr21,93,18601,18800,0,0,0,0,0,0,0,0,0,,,,
chr21,94,18801,19000,0,0,0,0,0,0,0,0,0,,,,
chr21,95,19001,19200,0,0,0,0,0,0,0,0,0,,,,
chr21,96,19201,19400,0,0,0,0,0,0,0,0,0,,,,
chr21,97,19401,19600,0,0,0,0,0,0,0,0,0,,,,
chr21,98,19601,19800,0,0,0,0,0,0,0,0,0,,,,
chr21,99,19801,20000,0,0,0,0,0,0,0,0,0,,,,
chr21,100,20001,20200,0,0,0,0,0,0,0,0,0,,,,
chr21,101,20201,20400,0,0,0,0,0,0,0,0,0,,,,
chr21,102,20401,20600,0,0,0,0,0,0,0,0,0,,,,
chr21,103,20601,20800,0,0,0,0,0,0,0,0,0,,,,
chr21,104,20801,21000,0,0,0,0,0,0,0,0,0,,,,
chr21,105,21001,21200,0,0,0,0,0,0,0,0,0,,,,
chr21,106,21201,21400,0,0,0,0,0,0,0,0,0,,,,
chr21,107,21401,21600,0,0,0,0,0,0,0,0,0,,,,
chr21,108,21601,21800,0,0,0,0,0,0,0,0,0,,,,
chr21,109,21801,22000,0,0,0,0,0,0,0,0,0,,,,
chr21,110,22001,22200,0,0,0,0,0,0,0,0,0,,,,
chr21,111,22201,22400,0,0,0,0,0,0,0,0,0,,,,
chr21,112,22401,22600,0,0,0,0,0,0,0,0,0,,,,
chr21,113,22601,22800,0,0,0,0,0,0,0,0,0,,,,
chr21,114,22801,23000,0,0,0,0,0,0,0,0,0,,,,
chr21,115,23001,23200,0,0,0,0,0,0,0,0,0,,,,
chr21,116,23201,23400,0,0,0,0,0,0,0,0,0,,,,
chr21,117,23401,23600,0,0,0,0,0,0,0,0,0,,,,
chr21,118,23601,23800,0,0,0,0,0,0,0,0,0,,,,
chr21,119,23801,24000,0,0,0,0,0,0,0,0,0,,,,
chr21,120,24001,24200,0,0,0,0,0,0,0,0,0,,,,
chr21,121,24201,24400,0,0,0,0,0,0,0,0,0,,,,
chr21,122,24401,24600,0,0,0,0,0,0,0,0,0,,,,
chr21,123,24601,24800,0,0,0,0,0,0,0,0,0,,,,
chr21,124,24801,25000,0,0,0,0,0,0,0,0,0,,,,
chr21,125,25001,25200,0,0,0,0,0,0,0,0,0,,,,
chr21,126,25201,25400,0,0,0,0,0,0,0,0,0,,,,
chr21,127,25401,25600,0,0,0,0,0,0,0,0,0,,,,
chr21,128,25601,25800,0,0,0,0,0,0,0,0,0,,,,
chr21,129,25801,26000,0,0,0,0,0,0,0,0,0,,,,
chr21,130,26001,26200,0,0,0,0,0,0,0,0,0,,,,
chr21,131,26201,26400,0,0,0,0,0,0,0,0,0,,,,
chr21,132,26401,26600,0,0,0,0,0,0,0,0,0,,,,
chr21,133,26601,26800,0,0,0,0,0,0,0,0,0,,,,
chr21,134,26801,27000,0,0,0,0,0,0,0,0,0,,,,
chr21,135,27001,27200,0,0,0,0,0,0,0,0,0,,,,
chr21,136,27201,27400,0,0,0,0,0,0,0,0,0,,,,
chr21,137,27401,27600,0,0,0,0,0,0,0,0,0,,,,
chr21,138,27601,27800,0,0,0,0,0,0,0,0,0,,,,
chr21,139,27801,28000,0,0,0,0,0,0,0,0,0,,,,
chr21,140,28001,28200,0,0,0,0,0,0,0,0,0,,,,
chr21,141,28201,28400,0,0,0,0,0,0,0,0,0,,,,
chr21,142,28401,28600,0,0,0,0,0,0,0,0,0,,,,
chr21,143,28601,28800,0,0,0,0,0,0,0,0,0,,,,
chr21,144,28801,29000,0,0,0,0,0,0,0,0,0,,,,
chr21,145,29001,29200,0,0,0,0,0,0,0,0,0,,,,
chr21,146,29201,29400,0,0,0,0,0,0,0,0,0,,,,
chr21,147,29401,29600,0,0,0,0,0,0,0,0,0,,,,
chr21,148,29601,29800,0,0,0,0,0,0,0,0,0,,,,
chr21,149,29801,30000,0,0,0,0,0,0,0,0,0,,,,
chr21,150,30001,30200,0,0,0,0,0,0,0,0,0,,,,
chr21,151,30201,30400,0,0,0,0,0,0,0,0,0,,,,
chr21,152,30401,30600,0,0,0,0,0,0,0,0,0,,,,
chr21,153,30601,30800,0,0,0,0,0,0,0,0,0,,,,
chr21,154,30801,31000,0,0,0,0,0,0,0,0,0,,,,
chr21,155,31001,31200,0,0,0,0,0,0,0,0,0,,,,
chr21,156,31201,31400,0,0,0,0,0,0,0,0,0,,,,
chr21,157,31401,31600,0,0,0,0,0,0,0,0,0,,,,
chr21,158,31601,31800,0,0,0,0,0,0,0,0,0,,,,
chr21,159,31801,32000,0,0,0,0,0,0,0,0,0,,,,
chr21,160,32001,32200,0,0,0,0,0,0,0,0,0,,,,
chr21,161,32201,32400,0,0,0,0,0,0,0,0,0,,,,
chr21,162,32401,32600,0,0,0,0,0,0,0,0,0,,,,
chr21,163,32601,32800,0,0,0,0,0,0,0,0,0,,,,
chr21,164,32801,33000,0,0,0,0,0,0,0,0,0,,,,
chr21,165,33001,33200,0,0,0,0,0,0,0,0,0,,,,
chr21,166,33201,33400,0,0,0,0,0,0,0,0,0,,,,
chr21,167,33401,33600,0,0,0,0,0,0,0,0,0,,,,
chr21,168,33601,33800,0,0,0,0,0,0,0,0,0,,,,
chr21,169,33801,34000,0,0,0,0,0,0,0,0,0,,,,
chr21,170,34001,34200,0,0,0,0,0,0,0,0,0,,,,
chr21,171,34201,34400,0,0,0,0,0,0,0,0,0,,,,
chr21,172,34401,34600,0,0,0,0,0,0,0,0,0,,,,
chr21,173,34601,34800,0,0,0,0,0,0,0,0,0,,,,
chr21,174,34801,35000,0,0,0,0,0,0,0,0,0,,,,
chr21,175,35001,35200,0,0,0,0,0,0,0,0,0,,,,
chr21,176,35201,35400,0,0,0,0,0,0,0,0,0,,,,
chr21,177,35401,35600,0,0,0,0,0,0,0,0,0,,,,
chr21,178,35601,35800,0,0,0,0,0,0,0,0,0,,,,
chr21,179,35801,36000,0,0,0,0,0,0,0,0,0,,,,
chr21,180,36001,36200,0,0,0,0,0,0,0,0,0,,,,
chr21,181,36201,36400,0,0,0,0,0,0,0,0,0,,,,
chr21,182,36401,36600,0,0,0,0,0,0,0,0,0,,,,
chr21,183,36601,36800,0,0,0,0,0,0,0,0,0,,,,
chr21,184,36801,37000,0,0,0,0,0,0,0,0,0,,,,
chr21,185,37001,37200,0,0,0,0,0,0,0,0,0,,,,
chr21,186,37201,37400,0,0,0,0,0,0,0,0,0,,,,
chr21,187,37401,37600,0,0,0,0,0,0,0,0,0,,,,
chr21,188,37601,37800,0,0,0,0,0,0,0,0,0,,,,
chr21,189,37801,38000,0,0,0,0,0,0,0,0,0,,,,
chr21,190,38001,38200,0,0,0,0,0,0,0,0,0,,,,
chr21,191,38201,38400,0,0,0,0,0,0,0,0,0,,,,
chr21,192,38401,38600,0,0,0,0,0,0,0,0,0,,,,
chr21,193,38601,38800,0,0,0,0,0,0,0,0,0,,,,
chr21,194,38801,39000,0,0,0,0,0,0,0,0,0,,,,
chr21,195,39001,39200,0,0,0,0,0,0,0,0,0,,,,
chr21,196,39201,39400,0,0,0,0,0,0,0,0,0,,,,
chr21,197,39401,39600,0,0,0,0,0,0,0,0,0,,,,
chr21,198,39601,39800,0,0,0,0,0,0,0,0,0,,,,
chr21,199,39801,40000,0,0,0,0,0,0,0,0,0,,,,
chr21,200,40001,40200,0,0,0,0,0,0,0,0,0,,,,
chr21,201,40201,40400,0,0,0,0,0,0,0,0,0,,,,
chr21,202,40401,40600,0,0,0,0,0,0,0,0,0,,,,
chr21,203,40601,40800,0,0,0,0,0,0,0,0,0,,,,
chr21,204,40801,41000,0,0,0,0,0,0,0,0,0,,,,
chr21,205,41001,41200,0,0,0,0,0,0,0,0,0,,,,
chr21,206,41201,41400,0,0,0,0,0,0,0,0,0,,,,
chr21,207,41401,41600,0,0,0,0,0,0,0,0,0,,,,
chr21,208,41601,41800,0,0,0,0,0,0,0,0,0,,,,
chr21,209,41801,42000,0,0,0,0,0,0,0,0,0,,,,
chr21,210,42001,42200,0,0,0,0,0,0,0,0,0,,,,
chr21,211,42201,42400,0,0,0,0,0,0,0,0,0,,,,
chr21,212,42401,42600,0,0,0,0,0,0,0,0,0,,,,
chr21,213,42601,42800,0,0,0,0,0,0,0,0,0,,,,
chr21,214,42801,43000,0,0,0,0,0,0,0,0,0,,,,
chr21,215,43001,43200,0,0,0,0,0,0,0,0,0,,,,
chr21,216,43201,43400,0,0,0,0,0,0,0,0,0,,,,
chr21,217,43401,43600,0,0,0,0,0,0,0,0,0,,,,
chr21,218,43601,43800,0,0,0,0,0,0,0,0,0,,,,
chr21,219,43801,44000,0,0,0,0,0,0,0,0,0,,,,
chr21,220,44001,44200,0,0,0,0,0,0,0,0,0,,,,
chr21,221,44201,44400,0,0,0,0,0,0,0,0,0,,,,
chr21,222,44401,44600,0,0,0,0,0,0,0,0,0,,,,
chr21,223,44601,44800,0,0,0,0,0,0,0,0,0,,,,
chr21,224,44801,45000,0,0,0,0,0,0,0,0,0,,,,
chr21,225,45001,45200,0,0,0,0,0,0,0,0,0,,,,
chr21,226,45201,45400,0,0,0,0,0,0,0,0,0,,,,
chr21,227,45401,45600,0,0,0,0,0,0,0,0,0,,,,
chr21,228,45601,45800,0,0,0,0,0,0,0,0,0,,,,
chr21,229,45801,46000,0,0,0,0,0,0,0,0,0,,,,
chr21,230,46001,46200,0,0,0,0,0,0,0,0,0,,,,
chr21,231,46201,46400,0,0,0,0,0,0,0,0,0,,,,
chr21,232,46401,46600,0,0,0,0,0,0,0,0,0,,,,
chr21,233,46601,46800,0,0,0,0,0,0,0,0,0,,,,
chr21,234,46801,47000,0,0,0,0,0,0,0,0,0,,,,
chr21,235,47001,47200,0,0,0,0,0,0,0,0,0,,,,
chr21,236,47201,47400,0,0,0,0,0,0,0,0,0,,,,
chr21,237,47401,47600,0,0,0,0,0,0,0,0,0,,,,
chr21,238,47601,47800,0,0,0,0,0,0,0,0,0,,,,
chr21,239,47801,48000,0,0,0,0,0,0,0,0,0,,,,
chr21,240,48001,48200,0,0,0,0,0,0,0,0,0,,,,
chr21,241,48201,48400,0,0,0,0,0,0,0,0,0,,,,
chr21,242,48401,48600,0,0,0,0,0,0,0,0,0,,,,
chr21,243,48601,48800,0,0,0,0,0,0,0,0,0,,,,
chr21,244,48801,49000,0,0,0,0,0,0,0,0,0,,,,
chr21,245,49001,49200,0,0,0,0,0,0,0,0,0,,,,
chr21,246,49201,49400,0,0,0,0,0,0,0,0,0,,,,
chr21,247,49401,49600,0,0,0,0,0,0,0,0,0,,,,
chr21,248,49601,49800,0,0,0,0,0,0,0,0,0,,,,
chr21,249,49801,50000,0,0,0,0,0,0,0,0,0,,,,
chr21,250,50001,50200,0,0,0,0,0,0,0,0,0,,,,
chr21,251,50201,50400,0,0,0,0,0,0,0,0,0,,,,
chr21,252,50401,50600,0,0,0,0,0,0,0,0,0,,,,
chr21,253,50601,50800,0,0,0,0,0,0,0,0,0,,,,
chr21,254,50801,51000,0,0,0,0,0,0,0,0,0,,,,
chr21,255,51001,51200,0,0,0,0,0,0,0,0,0,,,,
chr21,256,51201,51400,0,0,0,0,0,0,0,0,0,,,,
chr21,257,51401,51600,0,0,0,0,0,0,0,0,0,,,,
chr21,258,51601,51800,0,0,0,0,0,0,0,0,0,,,,
chr21,259,51801,52000,0,0,0,0,0,0,0,0,0,,,,
chr21,260,52001,52200,0,0,0,0,0,0,0,0,0,,,,
chr21,261,52201,52400,0,0,0,0,0,0,0,0,0,,,,
chr21,262,52401,52600,0,0,0,0,0,0,0,0,0,,,,
chr21,263,52601,52800,0,0,0,0,0,0,0,0,0,,,,
chr21,264,52801,53000,0,0,0,0,0,0,0,0,0,,,,
chr21,265,53001,53200,0,0,0,0,0,0,0,0,0,,,,
chr21,266,53201,53400,0,0,0,0,0,0,0,0,0,,,,
chr21,267,53401,53600,0,0,0,0,0,0,0,0,0,,,,
chr21,268,53601,53800,0,0,0,0,0,0,0,0,0,,,,
chr21,269,53801,54000,0,0,0,0,0,0,0,0,0,,,,
chr21,270,54001,54200,0,0,0,0,0,0,0,0,0,,,,
chr21,271,54201,54400,0,0,0,0,0,0,0,0,0,,,,
chr21,272,54401,54600,0,0,0,0,0,0,0,0,0,,,,
chr21,273,54601,54800,0,0,0,0,0,0,0,0,0,,,,
chr21,274,54801,55000,0,0,0,0,0,0,0,0,0,,,,
chr21,275,55001,55200,0,0,0,0,0,0,0,0,0,,,,
chr21,276,55201,55400,0,0,0,0,0,0,0,0,0,,,,
chr21,277,55401,55600,0,0,0,0,0,0,0,0,0,,,,
chr21,278,55601,55800,0,0,0,0,0,0,0,0,0,,,,
chr21,279,55801,56000,0,0,0,0,0,0,0,0,0,,,,
chr21,280,56001,56200,0,0,0,0,0,0,0,0,0,,,,
chr21,281,56201,56400,0,0,0,0,0,0,0,0,0,,,,
chr21,282,56401,56600,0,0,0,0,0,0,0,0,0,,,,
chr21,283,56601,56800,0,0,0,0,0,0,0,0,0,,,,
chr21,284,56801,57000,0,0,0,0,0,0,0,0,0,,,,
chr21,285,57001,57200,0,0,0,0,0,0,0,0,0,,,,
chr21,286,57201,57400,0,0,0,0,0,0,0,0,0,,,,
chr21,287,57401,57600,0,0,0,0,0,0,0,0,0,,,,
chr21,288,57601,57800,0,0,0,0,0,0,0,0,0,,,,
chr21,289,57801,58000,0,0,0,0,0,0,0,0,0,,,,
chr21,290,58001,58200,0,0,0,0,0,0,0,0,0,,,,
chr21,291,58201,58400,0,0,0,0,0,0,0,0,0,,,,
chr21,292,58401,58600,0,0,0,0,0,0,0,0,0,,,,
chr21,293,58601,58800,0,0,0,0,0,0,0,0,0,,,,
chr21,294,58801,59000,0,0,0,0,0,0,0,0,0,,,,
chr21,295,59001,59200,0,0,0,0,0,0,0,0,0,,,,
chr21,296,59201,59400,0,0,0,0,0,0,0,0,0,,,,
chr21,297,59401,59600,0,0,0,0,0,0,0,0,0,,,,
chr21,298,59601,59800,0,0,0,0,0,0,0,0,0,,,,
chr21,299,59801,60000,0,0,0,0,0,0,0,0,0,,,,
chr21,300,60001,60200,0,0,0,0,0,0,0,0,0,,,,
chr21,301,60201,60400,0,0,0,0,0,0,0,0,0,,,,
chr21,302,60401,60600,0,0,0,0,0,0,0,0,0,,,,
chr21,303,60601,60800,0,0,0,0,0,0,0,0,0,,,,
chr21,304,60801,61000,0,0,0,0,0,0,0,0,0,,,,
chr21,305,61001,61200,0,0,0,0,0,0,0,0,0,,,,
chr21,306,61201,61400,0,0,0,0,0,0,0,0,0,,,,
chr21,307,61401,61600,0,0,0,0,0,0,0,0,0,,,,
chr21,308,61601,61800,0,0,0,0,0,0,0,0,0,,,,
chr21,309,61801,62000,0,0,0,0,0,0,0,0,0,,,,
chr21,310,62001,62200,0,0,0,0,0,0,0,0,0,,,,
chr21,311,62201,62400,0,0,0,0,0,0,0,0,0,,,,
chr21,312,62401,62600,0,0,0,0,0,0,0,0,0,,,,
chr21,313,62601,62800,0,0,0,0,0,0,0,0,0,,,,
chr21,314,62801,63000,0,0,0,0,0,0,0,0,0,,,,
chr21,315,63001,63200,0,0,0,0,0,0,0,0,0,,,,
chr21,316,63201,63400,0,0,0,0,0,0,0,0,0,,,,
chr21,317,63401,63600,0,0,0,0,0,0,0,0,0,,,,
chr21,318,63601,63800,0,0,0,0,0,0,0,0,0,,,,
chr21,319,63801,64000,0,0,0,0,0,0,0,0,0,,,,
chr21,320,64001,64200,0,0,0,0,0,0,0,0,0,,,,
chr21,321,64201,64400,0,0,0,0,0,0,0,0,0,,,,
chr21,322,64401,64600,0,0,0,0,0,0,0,0,0,,,,
chr21,323,64601,64800,0,0,0,0,0,0,0,0,0,,,,
chr21,324,64801,65000,0,0,0,0,0,0,0,0,0,,,,
chr21,325,65001,65200,0,0,0,0,0,0,0,0,0,,,,
chr21,326,65201,65400,0,0,0,0,0,0,0,0,0,,,,
chr21,327,65401,65600,0,0,0,0,0,0,0,0,0,,,,
chr21,328,65601,65800,0,0,0,0,0,0,0,0,0,,,,
chr21,329,65801,66000,0,0,0,0,0,0,0,0,0,,,,
chr21,330,66001,66200,0,0,0,0,0,0,0,0,0,,,,
chr21,331,66201,66400,0,0,0,0,0,0,0,0,0,,,,
chr21,332,66401,66600,0,0,0,0,0,0,0,0,0,,,,
chr21,333,66601,66800,0,0,0,0,0,0,0,0,0,,,,
chr21,334,66801,67000,0,0,0,0,0,0,0,0,0,,,,
chr21,335,67001,67200,0,0,0,0,0,0,0,0,0,,,,
chr21,336,67201,67400,0,0,0,0,0,0,0,0,0,,,,
chr21,337,67401,67600,0,0,0,0,0,0,0,0,0,,,,
chr21,338,67601,67800,0,0,0,0,0,0,0,0,0,,,,
chr21,339,67801,68000,0,0,0,0,0,0,0,0,0,,,,
chr21,340,68001,68200,0,0,0,0,0,0,0,0,0,,,,
chr21,341,68201,68400,0,0,0,0,0,0,0,0,0,,,,
chr21,342,68401,68600,0,0,0,0,0,0,0,0,0,,,,
chr21,343,68601,68800,0,0,0,0,0,0,0,0,0,,,,
chr21,344,68801,69000,0,0,0,0,0,0,0,0,0,,,,
chr21,345,69001,69200,0,0,0,0,0,0,0,0,0,,,,
chr21,346,69201,69400,0,0,0,0,0,0,0,0,0,,,,
chr21,347,69401,69600,0,0,0,0,0,0,0,0,0,,,,
chr21,348,69601,69800,0,0,0,0,0,0,0,0,0,,,,
chr21,349,69801,70000,0,0,0,0,0,0,0,0,0,,,,
chr21,350,70001,70200,0,0,0,0,0,0,0,0,0,,,,
chr21,351,70201,70400,0,0,0,0,0,0,0,0,0,,,,
chr21,352,70401,70600,0,0,0,0,0,0,0,0,0,,,,
chr21,353,70601,70800,0,0,0,0,0,0,0,0,0,,,,
chr21,354,70801,71000,0,0,0,0,0,0,0,0,0,,,,
chr21,355,71001,71200,0,0,0,0,0,0,0,0,0,,,,
chr21,356,71201,71400,0,0,0,0,0,0,0,0,0,,,,
chr21,357,71401,71600,0,0,0,0,0,0,0,0,0,,,,
chr21,358,71601,71800,0,0,0,0,0,0,0,0,0,,,,
chr21,359,71801,72000,0,0,0,0,0,0,0,0,0,,,,
chr21,360,72001,72200,0,0,0,0,0,0,0,0,0,,,,
chr21,361,72201,72400,0,0,0,0,0,0,0,0,0,,,,
chr21,362,72401,72600,0,0,0,0,0,0,0,0,0,,,,
chr21,363,72601,72800,0,0,0,0,0,0,0,0,0,,,,
chr21,364,72801,73000,0,0,0,0,0,0,0,0,0,,,,
chr21,365,73001,73200,0,0,0,0,0,0,0,0,0,,,,
chr21,366,73201,73400,0,0,0,0,0,0,0,0,0,,,,
chr21,367,73401,73600,0,0,0,0,0,0,0,0,0,,,,
chr21,368,73601,73800,0,0,0,0,0,0,0,0,0,,,,
chr21,369,73801,74000,0,0,0,0,0,0,0,0,0,,,,
chr21,370,74001,74200,0,0,0,0,0,0,0,0,0,,,,
chr21,371,74201,74400,0,0,0,0,0,0,0,0,0,,,,
chr21,372,74401,74600,0,0,0,0,0,0,0,0,0,,,,
chr21,373,74601,74800,0,0,0,0,0,0,0,0,0,,,,
chr21,374,74801,75000,0,0,0,0,0,0,0,0,0,,,,
chr21,375,75001,75200,0,0,0,0,0,0,0,0,0,,,,
chr21,376,75201,75400,0,0,0,0,0,0,0,0,0,,,,
chr21,377,75401,75600,0,0,0,0,0,0,0,0,0,,,,
chr21,378,75601,75800,0,0,0,0,0,0,0,0,0,,,,
chr21,379,75801,76000,0,0,0,0,0,0,0,0,0,,,,
chr21,380,76001,76200,0,0,0,0,0,0,0,0,0,,,,
chr21,381,76201,76400,0,0,0,0,0,0,0,0,0,,,,
chr21,382,76401,76600,0,0,0,0,0,0,0,0,0,,,,
chr21,383,76601,76800,0,0,0,0,0,0,0,0,0,,,,
chr21,384,76801,77000,0,0,0,0,0,0,0,0,0,,,,
chr21,385,77001,77200,0,0,0,0,0,0,0,0,0,,,,
chr21,386,77201,77400,0,0,0,0,0,0,0,0,0,,,,
chr21,387,77401,77600,0,0,0,0,0,0,0,0,0,,,,
chr21,388,77601,77800,0,0,0,0,0,0,0,0,0,,,,
chr21,389,77801,78000,0,0,0,0,0,0,0,0,0,,,,
chr21,390,78001,78200,0,0,0,0,0,0,0,0,0,,,,
chr21,391,78201,78400,0,0,0,0,0,0,0,0,0,,,,
chr21,392,78401,78600,0,0,0,0,0,0,0,0,0,,,,
chr21,393,78601,78800,0,0,0,0,0,0,0,0,0,,,,
chr21,394,78801,79000,0,0,0,0,0,0,0,0,0,,,,
chr21,395,79001,79200,0,0,0,0,0,0,0,0,0,,,,
chr21,396,79201,79400,0,0,0,0,0,0,0,0,0,,,,
chr21,397,79401,79600,0,0,0,0,0,0,0,0,0,,,,
chr21,398,79601,79800,0,0,0,0,0,0,0,0,0,,,,
chr21,399,79801,80000,0,0,0,0,0,0,0,0,0,,,,
chr21,400,80001,80200,0,0,0,0,0,0,0,0,0,,,,
chr21,401,80201,80400,0,0,0,0,0,0,0,0,0,,,,
chr21,402,80401,80600,0,0,0,0,0,0,0,0,0,,,,
chr21,403,80601,80800,0,0,0,0,0,0,0,0,0,,,,
chr21,404,80801,81000,0,0,0,0,0,0,0,0,0,,,,
